Zip3,Higher % blacks than state,Higher % blacks than country,Higher % bachelors degrees than state,Higher % graduate degrees than state,Higher % high school degree than state,Higher % no diploma than state,Higher % some college than state,Higher % unemployment than state,Higher median income than state,Higher % powerty than state
350,False,True,False,False,True,True,True,False,True,False
351,False,True,False,False,True,True,True,False,True,False
352,True,True,True,True,False,False,False,False,True,True
354,True,True,True,True,True,False,False,False,False,True
355,False,False,False,False,True,True,False,True,False,True
356,False,False,False,False,True,True,False,False,False,False
357,False,False,True,True,False,False,False,False,True,False
358,True,True,True,True,False,False,True,False,True,False
359,False,False,False,False,True,True,True,False,False,True
360,True,True,False,False,True,True,False,True,False,False
361,True,True,True,True,False,False,False,True,False,True
362,False,True,False,False,True,True,True,True,False,True
363,False,True,False,False,True,True,True,False,False,True
364,True,True,False,False,True,True,False,True,False,True
365,False,True,False,False,True,False,True,False,True,False
366,True,True,True,True,False,False,True,True,False,True
367,True,True,False,False,True,True,False,True,False,True
368,True,True,True,True,False,False,True,False,False,True
369,True,True,False,False,True,True,False,True,False,True
356,True,False,False,False,True,True,True,True,False,True
357,True,False,False,False,False,True,False,True,False,True
358,True,True,True,True,False,True,True,True,False,True
359,True,False,False,False,True,True,True,True,False,True
360,True,True,False,False,True,True,False,True,False,True
321,True,False,False,False,True,True,True,True,False,True
322,True,True,False,False,False,True,True,True,False,True
323,True,True,False,True,False,True,True,True,False,True
324,True,False,False,False,True,True,True,True,False,True
325,True,True,False,False,False,True,True,True,False,True
326,True,True,False,True,False,True,False,True,False,True
327,True,False,False,False,False,True,True,True,False,True
328,True,True,False,False,False,True,True,True,False,True
329,True,False,False,False,True,True,True,True,False,True
330,True,True,False,False,True,True,True,True,False,True
344,True,False,False,False,True,True,True,True,False,True
346,True,False,False,False,True,True,True,True,False,True
303,True,True,True,True,False,True,False,True,False,True
304,True,True,False,False,True,True,False,True,False,True
305,True,False,False,False,True,True,False,True,False,True
306,True,True,False,False,True,True,False,True,False,True
307,True,False,False,False,True,True,False,True,False,True
308,True,True,False,False,True,True,True,True,False,True
310,True,True,False,False,True,True,True,True,False,True
380,True,True,False,False,True,True,False,True,False,True
382,True,False,False,False,True,True,False,True,False,True
385,True,False,False,False,True,True,False,True,False,True
387,True,True,False,False,True,True,True,True,False,True
386,True,True,False,False,True,True,True,True,False,True
388,True,True,False,False,True,True,True,True,False,True
389,True,True,False,False,True,True,False,True,False,True
311,True,False,True,True,False,False,False,False,True,False
343,False,False,True,True,True,False,False,True,False,True
345,False,False,False,True,True,False,True,False,False,False
374,True,True,False,False,True,True,True,True,False,True
375,True,False,True,True,False,False,False,False,True,False
376,True,False,False,False,True,True,False,True,False,True
377,True,False,False,False,True,True,False,True,False,True
378,True,False,False,False,True,True,False,True,False,True
381,True,True,False,False,True,True,True,True,False,True
383,True,True,False,False,True,True,False,True,False,True
384,True,False,False,False,True,True,False,True,False,True
301,False,True,True,False,True,False,True,False,True,False
300,True,True,True,True,False,False,False,False,True,False
302,True,True,False,False,True,False,True,True,True,False
303,True,True,True,True,False,False,False,True,True,True
304,False,True,False,False,True,True,False,False,False,True
305,False,False,False,False,True,True,False,False,True,False
306,False,True,False,True,True,True,False,False,False,False
307,False,False,False,False,True,True,False,False,False,False
308,False,True,False,False,True,False,True,False,True,False
309,True,True,False,False,True,True,True,True,False,True
310,False,True,False,False,True,True,True,False,False,True
312,True,True,False,False,True,True,False,True,False,True
313,False,True,False,False,True,False,True,True,True,False
314,True,True,True,True,False,False,True,True,False,True
315,False,True,False,False,True,True,True,False,False,True
316,False,True,False,False,True,True,True,True,False,True
317,True,True,False,False,True,True,True,True,False,True
318,False,True,False,False,True,True,True,True,False,False
319,True,True,False,False,False,False,True,True,False,True
398,True,True,False,False,True,True,False,True,False,True
995,True,False,True,True,False,False,False,False,True,False
996,False,False,False,False,True,True,True,True,False,True
997,False,False,False,True,False,True,True,True,False,True
998,False,False,True,True,False,False,False,False,True,False
999,False,False,False,False,True,True,True,True,False,True
850,True,False,False,False,False,True,False,False,False,True
851,True,False,False,False,True,False,True,True,True,False
852,False,False,True,True,False,False,False,False,True,False
853,True,False,False,False,True,True,True,False,True,False
855,False,False,False,True,True,False,False,True,True,False
856,False,False,False,False,False,False,True,True,False,False
857,False,False,False,True,False,False,True,True,False,True
859,False,False,False,False,True,True,True,True,False,True
860,True,False,False,True,False,True,False,True,False,True
863,True,False,False,False,True,False,True,True,False,False
864,False,False,False,False,True,False,True,True,False,False
865,False,False,False,False,True,True,False,True,False,True
850,False,False,False,False,False,True,True,True,False,True
851,False,False,False,False,True,True,True,True,False,True
852,False,False,True,True,False,False,True,False,False,True
853,False,False,False,False,False,True,True,False,False,True
855,False,False,False,True,False,True,True,True,False,True
856,False,False,False,False,False,True,True,True,False,True
860,False,False,False,False,False,True,True,True,False,True
863,False,False,False,False,False,False,True,True,False,True
864,False,False,False,False,True,True,True,True,False,True
873,False,False,False,False,True,True,True,True,False,True
720,True,True,False,False,True,True,True,False,False,True
749,False,False,False,False,True,True,True,False,False,True
890,False,False,False,False,True,True,True,True,False,True
800,False,False,True,False,False,False,True,False,False,False
801,False,False,True,True,False,False,True,False,True,False
802,False,False,True,False,False,True,True,False,False,True
803,False,False,True,True,False,False,False,False,False,False
804,False,False,True,True,False,False,True,False,False,False
805,False,False,True,True,False,False,True,False,False,False
806,False,False,False,False,True,True,True,False,False,True
807,False,False,False,False,True,False,True,False,False,False
808,False,False,False,False,True,False,True,False,False,False
809,False,False,False,False,False,False,True,False,False,False
810,False,False,False,False,True,True,True,True,False,True
811,False,False,False,False,True,True,True,True,False,True
832,False,False,False,False,True,False,True,False,False,True
833,False,False,False,False,True,True,True,False,False,True
834,False,False,False,False,False,False,True,False,False,True
835,False,False,False,False,True,False,True,False,False,True
836,False,False,False,False,True,True,True,False,False,True
840,False,False,False,False,False,False,True,False,False,False
831,False,False,False,False,True,False,True,False,False,False
700,True,True,False,False,True,True,True,False,False,True
701,True,True,False,False,False,True,True,True,False,True
703,True,True,False,False,True,True,False,False,False,True
704,True,True,False,False,True,True,True,True,False,True
705,True,True,False,False,True,True,False,False,False,True
706,True,True,False,False,True,True,True,False,False,True
707,True,True,False,False,True,True,True,False,False,True
708,True,True,False,False,False,True,True,False,False,True
710,True,True,False,False,True,True,True,True,False,True
711,True,True,False,False,True,True,True,True,False,True
827,False,False,False,False,True,False,True,False,False,False
702,False,False,True,True,False,True,False,False,False,True
709,False,False,True,True,False,True,False,False,True,True
730,False,False,False,False,False,False,True,False,False,True
731,True,True,False,False,False,True,True,False,False,True
740,False,False,False,False,True,False,True,False,False,False
741,False,True,False,False,False,True,True,False,False,True
742,False,False,True,False,True,False,False,False,True,False
743,False,False,False,False,True,True,True,False,False,True
744,False,False,False,False,True,True,True,True,False,True
745,False,False,False,True,False,False,True,False,True,True
746,False,False,False,False,True,False,True,False,False,True
747,False,False,False,False,True,True,True,False,False,True
748,False,False,False,False,True,True,True,False,False,True
750,False,False,True,False,False,True,True,False,False,False
751,True,True,False,False,True,True,True,False,False,True
752,True,True,False,False,False,True,False,False,False,True
760,False,False,False,False,False,True,True,False,False,True
762,False,False,True,False,False,False,True,False,False,False
763,False,False,False,False,True,True,True,False,False,True
764,False,False,False,False,True,True,True,False,False,True
765,True,True,False,False,False,False,True,True,False,True
766,False,False,False,False,True,True,True,False,False,True
767,True,True,False,False,False,True,True,False,False,True
770,True,True,False,False,False,True,True,False,False,True
771,False,False,True,True,False,False,True,False,False,False
772,False,False,True,True,False,False,True,False,True,False
773,False,False,False,False,False,True,True,False,False,False
774,True,True,True,False,False,False,True,False,True,False
775,False,False,False,False,False,True,True,False,False,True
776,False,False,False,False,True,True,True,False,False,True
780,False,False,False,False,False,True,True,False,False,True
782,False,False,False,False,False,True,True,False,False,True
783,False,False,False,False,True,True,True,False,False,True
784,False,False,False,False,True,True,True,False,False,True
785,False,False,False,False,False,True,False,True,False,True
786,False,False,False,False,False,False,True,False,False,False
787,False,False,True,True,False,False,True,False,False,True
788,False,False,False,False,False,True,True,True,False,True
790,False,False,False,False,False,True,True,False,False,True
792,False,False,True,True,False,False,False,False,True,False
793,False,False,False,False,False,True,True,False,False,True
794,False,False,False,False,False,True,True,False,False,True
795,False,False,False,False,True,True,True,False,False,False
796,False,False,False,False,False,True,True,False,False,True
797,False,False,False,False,False,True,True,False,False,False
798,False,False,False,False,False,True,False,True,False,True
820,False,False,False,False,False,False,True,False,False,False
821,False,False,False,False,True,True,True,True,False,False
822,False,False,False,False,False,False,True,False,False,False
823,True,True,False,False,True,True,True,True,False,True
824,False,False,False,False,True,False,True,False,False,False
825,False,False,False,False,True,False,True,True,False,True
826,False,False,False,False,True,False,True,False,False,False
830,True,True,False,False,True,True,True,False,False,True
854,False,False,True,True,False,False,False,False,True,False
